Субъект,Федеральный Округ
Республика Адыгея,Южный
Республика Алтай,Сибирский
Алтайский Край,Сибирский
Амурская Область,Дальневосточный
Архангельская Область,Северо-Западный
Астраханская Область,Южный
Республика Башкортостан,Приволжский
Белгородская Область,Центральный
Брянская Область,Центральный
Республика Бурятия,Дальневосточный
Владимирская Область,Центральный
Волгоградская Область,Южный
Вологодская Область,Северо-Западный
Воронежская Область,Центральный
Республика Дагестан,Северо-Кавказский
Еврейская АО,Дальневосточный
Забайкальский Край,Дальневосточный
Ивановская Область,Центральный
Республика Ингушетия,Северо-Кавказский
Иркутская Область,Сибирский
Кабардино-Балкарская Республика,Северо-Кавказский
Калининградская Область,Северо-Западный
Республика Калмыкия,Южный
Калужская Область,Центральный
Камчатский Край,Дальневосточный
Карачаево-Черкесская Республика,Северо-Кавказский
Республика Карелия,Северо-Западный
Кемеровская Область,Сибирский
Кировская Область,Приволжский
Республика Коми,Северо-Западный
Костромская Область,Центральный
Краснодарский Край,Южный
Красноярский Край,Сибирский
Республика Крым,Южный
Курганская Область,Уральский
Курская Область,Центральный
Ленинградская Область,Северо-Западный
Липецкая Область,Центральный
Магаданская Область,Дальневосточный
Республика Марий Эл,Приволжский
Республика Мордовия,Приволжский
Москва,Центральный
Московская Область,Центральный
Мурманская Область,Северо-Западный
Ненецкий АО,Северо-Западный
Нижегородская Область,Приволжский
Новгородская Область,Северо-Западный
Новосибирская Область,Сибирский
Омская Область,Сибирский
Оренбургская Область,Приволжский
Орловская Область,Центральный
Пензенская Область,Приволжский
Пермский Край,Приволжский
Приморский Край,Дальневосточный
Псковская Область,Северо-Западный
Ростовская Область,Южный
Рязанская Область,Центральный
Самарская Область,Приволжский
Санкт-Петербург,Северо-Западный
Саратовская Область,Приволжский
Республика Саха (Якутия),Дальневосточный
Сахалинская Область,Дальневосточный
Свердловская Область,Уральский
Севастополь,Южный
Смоленская Область,Центральный
Республика Северная Осетия — Алания,Северо-Кавказский
Ставропольский Край,Северо-Кавказский
Тамбовская Область,Центральный
Республика Татарстан,Приволжский
Тверская Область,Центральный
Томская Область,Сибирский
Тульская Область,Центральный
Республика Тыва,Сибирский
Тюменская Область,Уральский
Удмуртская Республика,Приволжский
Ульяновская Область,Приволжский
Хабаровский Край,Дальневосточный
Республика Хакасия,Сибирский
Ханты-Мансийский АО,Уральский
Челябинская Область,Уральский
Чеченская Республика,Северо-Кавказский
Чувашская Республика,Приволжский
Чукотский АО,Дальневосточный
Ямало-Ненецкий АО,Уральский
Ярославская Область,Центральный
